Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drive_hex_wheel4,1.507873859663E-07,0.0338919942040705,-9.26392351718874E-08,0,0,0,5.52809200361437,0.0247806651971415,-1.15749404360795E-07,-7.0380406386449E-09,0.0371187142022961,1.06700920302874E-07,0.024780650910342,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/drive_hex_wheel4.STL,1,1,1,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/drive_hex_wheel4.STL,,DualLinkedMSS_assy_rev2_v1-5/HexWheel_CurvedGrousers_rig2_z5_v3-1,drive_actuator4_coordinate_system,drive_actuator4_axis,drive_act_joint4,revolute,0,-0.03535,-0.23146,0,0,0,crab_steer_assy4,0,-1,0,0,0,0,0,,,,,,,,
differential_bar,0.010288,6.6138E-09,0.044354,0,0,0,0.76629,0.013025,4.1952E-10,1.2868E-06,0.00070628,-1.8927E-11,0.012413,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_bar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_bar.STL,,DiffBar_FullPLAStructure_rev2_v1-1;5905K545_Needle-Roller Bearing-1;6516K128_ConnectingRod_75mm-2;91854A104_Aluminum_HexNut-8;91854A104_Aluminum_HexNut-7;6516K128_ConnectingRod_75mm-1;91854A104_Aluminum_HexNut-6;91854A104_Aluminum_HexNut-5;59935K38_BallJoint_RodEnd-1/59935K83_Ball_Socket-1;59935K38_BallJoint_RodEnd-2/59935K83_Ball_Socket-1,differential_bar_coordinate_system,axle_differential_axis,differential_bar_axis,revolute,-0.3461,0,0.1325,0,0,0,base_link,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_virt1_rodend1,-1.8095190798928E-05,0.000256559158545555,-0.0119432766155368,0,0,0,0.00295673584796962,7.21226540434737E-07,-7.417073499193E-10,-9.47003238443819E-10,6.60772755396745E-07,1.2341956803659E-08,8.73411754001956E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt1_rodend1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt1_rodend1.STL,,59935K38_BallJoint_RodEnd-1/59935K83_Rod_End-1,differential_connection2_rodend1_coordinate_system,diff_connection2_balljoint_rev1_axis,differential_connection1_joint1,revolute,0.01025,0.25,0.1,0,0,0,differential_bar,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_virt2_rodend1,-1.8095190798928E-05,0.000256559158545555,-0.0119432766155368,0,0,0,0.00295673584796962,7.21226540434737E-07,-7.417073499193E-10,-9.47003238443818E-10,6.60772755396745E-07,1.2341956803659E-08,8.73411754001956E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt2_rodend1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt2_rodend1.STL,,59935K38_BallJoint_RodEnd-1/59935K83_Rod_End-1,differential_connection2_rodend2_coordinate_system,diff_connection2_balljoint_rev2_axis,differential_connection1_joint2,revolute,0,0,0,0,0,0,differential_connection_virt1_rodend1,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_rodend1,-6.11318886869494E-05,0.000880232537741832,-0.0407631225002599,0,0,0,0.0130890092288472,4.21790054703516E-06,-6.39807921897711E-10,-5.65654759306341E-09,4.15599446129717E-06,7.99943330444395E-08,4.58692639265557E-07,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_rodend1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_rodend1.STL,,59935K38_BallJoint_RodEnd-1/59935K83_Rod_End-1;DiffBar-Suspension_ConnectionPiece_rev2_v1-1,differential_connection2_rodend3_coordinate_system,diff_connection2_balljoint_rev3_axis,differential_connection1_joint3,revolute,0,0,0,0,0,0,differential_connection_virt2_rodend1,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_virt1_rodend2,1.6586029561616E-05,-0.000257984029574776,0.0119433090701106,0,0,0,0.00295673952947485,6.61059761931097E-07,1.37255937782408E-09,-7.86848168132231E-10,7.20914339838891E-07,1.3659961227637E-08,8.73695854030152E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt1_rodend2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt1_rodend2.STL,,59935K38_BallJoint_RodEnd-4/59935K83_Rod_End-1,differential_connection1_rodend1_coordinate_system,diff_connection1_balljoint_rev1_axis,differential_connection2_joint1,revolute,-0.00014998,0.0021259,-0.098347,0,0,0,differential_connection_rodend1,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_virt2_rodend2,1.6586029561616E-05,-0.000257984029574776,0.0119433090701106,0,0,0,0.00295673952947485,6.61059761931097E-07,1.37255937782408E-09,-7.86848168132231E-10,7.20914339838891E-07,1.3659961227637E-08,8.73695854030152E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt2_rodend2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt2_rodend2.STL,,59935K38_BallJoint_RodEnd-4/59935K83_Rod_End-1,differential_connection1_rodend2_coordinate_system,diff_connection1_balljoint_rev2_axis,differential_connection2_joint2,revolute,0,0,0,0,0,0,differential_connection_virt1_rodend2,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_rodend2,1.6586029561616E-05,-0.000257984029574776,0.0119433090701106,0,0,0,0.00295673952947485,6.61059761931097E-07,1.37255937782408E-09,-7.86848168132231E-10,7.20914339838891E-07,1.3659961227637E-08,8.73695854030152E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_rodend2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_rodend2.STL,,59935K38_BallJoint_RodEnd-4/59935K83_Rod_End-1,differential_connection1_rodend3_coordinate_system,diff_connection1_balljoint_rev3_axis,differential_connection2_joint3,revolute,0,0,0,0,0,0,differential_connection_virt2_rodend2,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_virt1_rodend3,-1.8302E-05,-0.00025656,-0.011943,0,0,0,0.0029567,7.2118E-07,-1.8923E-09,-9.6112E-10,6.6082E-07,-1.2338E-08,8.7341E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt1_rodend3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt1_rodend3.STL,,59935K38_BallJoint_RodEnd-2/59935K83_Rod_End-1,differential_connection3_rodend1_coordinate_system,diff_connection3_balljoint_rev1_axis,differential_connection3_joint1,revolute,0.01025,-0.25,0.1,0,0,0,differential_bar,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_virt2_rodend3,-1.83024498982554E-05,-0.000256556754834769,-0.0119432783863921,0,0,0,0.00295673626384774,7.21177838777678E-07,-1.89233651064902E-09,-9.61117601434979E-10,6.608216160658E-07,-1.23383102642492E-08,8.73412162454636E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt2_rodend3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt2_rodend3.STL,,59935K38_BallJoint_RodEnd-2/59935K83_Rod_End-1,differential_connection3_rodend2_coordinate_system,diff_connection3_balljoint_rev2_axis,differential_connection3_joint2,revolute,0,0,0,0,0,0,differential_connection_virt1_rodend3,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_rodend3,-6.3302E-05,-0.00088051,-0.040763,0,0,0,0.013089,4.2179E-06,-1.9975E-09,-5.7578E-09,4.156E-06,-8.0002E-08,4.5869E-07,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_rodend3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_rodend3.STL,,59935K38_BallJoint_RodEnd-2/59935K83_Rod_End-1;DiffBar-Suspension_ConnectionPiece_rev2_v1-2,differential_connection3_rodend3_coordinate_system,diff_connection3_balljoint_rev3_axis,differential_connection3_joint3,revolute,0,0,0,0,0,0,differential_connection_virt2_rodend3,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_virt1_rodend4,1.65990020765117E-05,0.000258492328237325,0.0119435262828372,0,0,0,0.0029567186402136,6.62102362874624E-07,7.96084649817283E-09,-9.94583018403802E-10,7.19857349192635E-07,-1.37371542188793E-08,8.73706672317548E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt1_rodend4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt1_rodend4.STL,,59935K38_BallJoint_RodEnd-3/59935K83_Rod_End-1,differential_connection4_rodend1_coordinate_system,diff_connection4_balljoint_rev1_axis,differential_connection4_joint1,revolute,-0.00014998,-0.0021259,-0.098347,0,0,0,differential_connection_rodend3,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_virt2_rodend4,1.6599E-05,0.00025849,0.011944,0,0,0,0.0029567,6.621E-07,7.9608E-09,-9.9458E-10,7.1986E-07,-1.3737E-08,8.7371E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt2_rodend4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_virt2_rodend4.STL,,59935K38_BallJoint_RodEnd-3/59935K83_Rod_End-1,differential_connection4_rodend2_coordinate_system,diff_connection4_balljoint_rev2_axis,differential_connection4_joint2,revolute,0,0,0,0,0,0,differential_connection_virt1_rodend4,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
differential_connection_rodend4,1.6599E-05,0.00025849,0.011944,0,0,0,0.0029567,6.621E-07,7.9608E-09,-9.9458E-10,7.1986E-07,-1.3737E-08,8.7371E-08,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_rodend4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/differential_connection_rodend4.STL,,59935K38_BallJoint_RodEnd-3/59935K83_Rod_End-1,differential_connection4_rodend3_coordinate_system,diff_connection4_balljoint_rev3_axis,differential_connection4_joint3,revolute,0,0,0,0,0,0,differential_connection_virt2_rodend4,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
